ID_yr,Site,Year,Species,Treatment,spp_trt,Phytometer,Neighbour,light,carbon,WUE,gs
PTY3CU_2016,PTY3CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,50,0.1,0.07,43
PTY3CU_2016,PTY3CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,0,-1,-0.89,33
PTY4_2016,PTY4,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,1500,23.5,4.38,275
PTY4_2016,PTY4,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,1000,20.8,4.15,266
PTY4_2016,PTY4,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,500,15.2,3.16,265
PTY4_2016,PTY4,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,200,6.7,1.28,313
PTY4_2016,PTY4,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,100,2.6,0.62,213
PTY4_2016,PTY4,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,50,0.2,0.05,181
PTY4_2016,PTY4,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,0,-0.7,-0.23,133
PTY4CU_2016,PTY4CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,1500,23.2,4.11,282
PTY4CU_2016,PTY4CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,1000,20.1,4.01,272
PTY4CU_2016,PTY4CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,500,13.6,2.82,213
PTY4CU_2016,PTY4CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,200,5.7,1.33,200
PTY4CU_2016,PTY4CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,100,1.9,0.48,169
PTY4CU_2016,PTY4CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,50,0.4,0.14,118
PTY4CU_2016,PTY4CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,0,-1,-0.38,92
PTY5_2016,PTY5,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,1500,18.2,3.23,218
PTY5_2016,PTY5,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,1000,16.8,3.27,189
PTY5_2016,PTY5,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,500,14.2,2.89,174
PTY5_2016,PTY5,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,200,9.9,2.35,141
PTY5_2016,PTY5,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,100,6.1,1.73,110
PTY5_2016,PTY5,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,50,5.8,1.87,92
PTY5_2016,PTY5,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,0,4.4,1.67,79
PTY5CU_2016,PTY5CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,1500,5.7,2.91,53
PTY5CU_2016,PTY5CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,1000,5.1,2.73,47
PTY5CU_2016,PTY5CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,500,3.6,2.35,37
PTY5CU_2016,PTY5CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,200,2.3,1.64,33
